Scenario_ID,Month,Y_1M,Y_3M,Y_6M,Y_1Y,Y_2Y,Y_3Y,Y_5Y,Y_7Y,Y_10Y,Y_20Y,Y_30Y
1,1,3.5079935,3.4755208,3.4328158,3.2714627,3.3375156,3.3321328,3.469941,3.7935693,3.922534,4.6510034,4.728416
1,2,3.4611888,3.4017053,3.3004787,3.1300173,3.1529388,3.1624448,3.3472588,3.6217766,3.7428563,4.4739127,4.56079
1,3,3.3774462,3.347416,3.2320826,3.0427542,3.0795548,3.1264842,3.386444,3.7047305,3.8820071,4.6533747,4.7599654
1,4,3.2573607,3.3138735,3.222749,3.046038,3.09827,3.150179,3.332054,3.595923,3.8114552,4.5613966,4.6424403
1,5,3.3598804,3.3297682,3.2117176,3.0143607,3.0133095,2.9930797,3.105454,3.3509798,3.512834,4.2547445,4.2967896
1,6,3.3332283,3.2818034,3.1439633,2.921867,2.9322498,2.9252322,3.0497983,3.274706,3.4274092,4.1891255,4.301726
1,7,3.139077,3.1431928,3.0339515,2.8518155,2.8663726,2.9096124,3.0658917,3.3122349,3.455954,4.216204,4.2838507
1,8,3.0119815,3.0974474,3.017189,2.8443878,2.8624969,2.9177713,3.0545373,3.2693217,3.4100027,4.158639,4.175019
1,9,3.2088592,3.1518507,3.0055606,2.7931924,2.7726297,2.7695346,2.9167309,3.2053847,3.3996172,4.19766,4.245749
1,10,3.151122,3.1056173,2.978248,2.754988,2.7435567,2.7610002,2.8741908,3.106984,3.2029462,3.909473,3.91867
1,11,2.9116309,2.9483252,2.8745408,2.6921144,2.7293906,2.8175592,2.981421,3.2506375,3.4265525,4.18811,4.166748
1,12,3.0511088,2.974605,2.8708072,2.6871092,2.726986,2.8280795,2.9898713,3.3109446,3.5004349,4.2791376,4.2222333
1,13,2.9767168,2.990265,2.902378,2.723313,2.827279,2.8975425,3.0695968,3.3647275,3.57523,4.337595,4.289618
1,14,2.9635994,2.8665118,2.805278,2.6614997,2.8353925,2.987757,3.2904289,3.5991344,3.8441954,4.6382065,4.60235
1,15,3.078389,2.9310734,2.7871544,2.6219687,2.7676215,2.8630161,3.180276,3.4856508,3.765258,4.5931334,4.5150056
1,16,3.0064752,2.9764912,2.8655124,2.703181,2.8066063,2.895135,3.137805,3.3755789,3.6290896,4.5184937,4.441832
1,17,2.9244277,2.8484027,2.7178192,2.566864,2.659961,2.7790048,3.0219412,3.2871466,3.580866,4.480346,4.4359646
1,18,3.0883305,2.8676858,2.6481922,2.4176476,2.481273,2.571308,2.824681,3.1313004,3.4823747,4.375621,4.381581
1,19,2.709499,2.6894574,2.5328367,2.3100338,2.3385525,2.3881207,2.6881385,3.0371609,3.3907952,4.289828,4.3209867
1,20,2.7152796,2.7290752,2.5676324,2.3611832,2.397064,2.4537344,2.7847252,3.2142978,3.6243908,4.5727086,4.6113224
1,21,3.0027847,2.8965921,2.6785972,2.4563498,2.504052,2.5038016,2.8466408,3.3010077,3.6828706,4.625356,4.627185
1,22,2.866101,2.8556123,2.6510565,2.388957,2.3533049,2.2726426,2.5200882,2.9037113,3.3274543,4.2485657,4.430458
1,23,2.9755044,2.8510456,2.618295,2.3040137,2.2471578,2.184297,2.3902843,2.723638,3.1304684,4.052431,4.1685257
1,24,2.9578073,2.857203,2.6813493,2.425016,2.4056816,2.4215398,2.6936598,3.0960164,3.5312228,4.448768,4.5767593
1,25,3.0308533,2.933499,2.746383,2.4495187,2.4262538,2.401585,2.714497,3.1576133,3.495835,4.383775,4.564634
1,26,3.0557733,2.9393582,2.774496,2.4726596,2.4327254,2.364242,2.568756,2.9809499,3.3147554,4.21533,4.434408
1,27,3.1520512,3.016113,2.8783927,2.6438007,2.648736,2.574981,2.8437634,3.269214,3.6119518,4.514878,4.652497
1,28,3.1849823,3.1182938,2.9545386,2.7022254,2.6728823,2.5461195,2.7543926,3.0714598,3.3551545,4.218783,4.3324995
1,29,3.2510877,3.1225863,3.0128539,2.763916,2.7182112,2.544457,2.6899018,3.0014403,3.2899094,4.115787,4.232457
1,30,3.398468,3.188057,3.0359077,2.7751412,2.7167916,2.5234606,2.6140146,2.9253635,3.2309487,4.117239,4.2910023
1,31,3.4056892,3.1966858,3.0469022,2.7770658,2.7503371,2.572496,2.6697593,2.964789,3.2294745,4.0675087,4.224533
1,32,3.3026857,3.1631439,3.014417,2.7984278,2.8077326,2.717677,2.910783,3.2776632,3.5128717,4.332479,4.417226
1,33,3.4039166,3.22918,3.080197,2.8603039,2.8667989,2.8152597,2.9458914,3.2607856,3.4774456,4.2961297,4.3517113
1,34,3.3266246,3.3064017,3.1635456,2.943284,2.9221654,2.807859,2.8965943,3.1514254,3.3395925,4.1605773,4.23822
1,35,3.3914323,3.2065306,3.0685515,2.8607607,2.8531008,2.8449974,2.9751544,3.2244127,3.3635564,4.1581326,4.284374
1,36,3.27786,3.1726637,3.005094,2.7170815,2.6268258,2.6882043,2.8969781,3.263054,3.4528933,4.2779665,4.432346
1,37,3.4849503,3.298118,3.042492,2.738195,2.6591954,2.7535381,2.9620016,3.3315477,3.5096283,4.3435297,4.5019937
1,38,3.465856,3.3660133,3.1116886,2.805222,2.7707489,2.912864,3.1203885,3.4099686,3.5331933,4.3069587,4.4632854
1,39,3.5364666,3.4307761,3.234016,2.9607635,2.890557,2.983598,3.2041955,3.4933896,3.557837,4.3047967,4.4432087
1,40,3.5088196,3.4280434,3.2175741,2.979106,2.9196975,2.9975088,3.1781652,3.4926002,3.4922798,4.230347,4.313727
1,41,3.7632158,3.6203797,3.3330164,3.054963,2.968889,3.060648,3.218086,3.489817,3.4955459,4.1684275,4.244815
