Start_Curve_ID,Scenario_ID,scenario_id_within_start_curve,Month,Y_DGS1MO,Y_DGS3MO,Y_DGS6MO,Y_DGS1,Y_DGS2,Y_DGS3,Y_DGS5,Y_DGS7,Y_DGS10,Y_DGS20,Y_DGS30
1,1,1,1,5.4076004,5.3524194,5.219914,4.905634,4.460943,4.1988754,4.015692,4.0148807,4.0475683,4.382246,4.2751694
1,1,1,2,5.3524756,5.4383464,5.3823824,5.024397,4.533422,4.3151035,4.205348,4.2398686,4.3147926,4.652432,4.5074153
1,1,1,3,5.4394245,5.2950172,5.2413344,4.9140687,4.39778,4.1828403,4.143436,4.1936584,4.2970977,4.633268,4.435679
1,1,1,4,5.158948,5.158897,5.1091065,4.7774253,4.144587,3.8975177,3.8310604,3.8783503,4.018445,4.3688054,4.200907
1,1,1,5,5.224579,5.201573,5.052516,4.6869636,4.1441417,3.9082372,3.8173876,3.7965276,3.9525118,4.2743754,4.1226344
1,1,1,6,5.1654925,5.200142,5.005607,4.6616044,4.241222,3.9854963,3.8672302,3.7769608,3.9278672,4.2629857,4.099503
1,1,1,7,5.014642,4.9859643,4.804313,4.4557047,3.9915817,3.7988029,3.7573502,3.7515159,3.9738371,4.3867407,4.253188
1,1,1,8,4.8883963,4.985609,4.823063,4.5052137,3.9493012,3.662901,3.5780363,3.540104,3.7674081,4.122769,4.047552
1,1,1,9,4.6403503,4.659259,4.5123153,4.2038975,3.770008,3.476966,3.3429124,3.3513694,3.6445582,4.0413756,4.0585647
1,1,1,10,4.7741327,4.8730135,4.6870255,4.322918,3.8414083,3.5838532,3.4894528,3.5270832,3.795983,4.22521,4.2398605
1,1,1,11,4.5611696,4.640081,4.550363,4.1937284,3.71011,3.448726,3.4070115,3.456864,3.7554188,4.1643066,4.1581507
1,1,1,12,4.207524,4.305566,4.1650734,3.8513808,3.4504948,3.225175,3.2070386,3.2871091,3.6684375,4.1697946,4.146952
1,1,1,13,3.9612732,4.1491685,4.0483046,3.7453742,3.3313625,3.1153574,3.121904,3.1825528,3.571148,4.070756,4.065675
1,1,1,14,3.7817492,3.896258,3.854611,3.6062946,3.294889,3.1302252,3.2272928,3.302264,3.7008958,4.1966724,4.085007
1,1,1,15,3.665289,3.7206557,3.6853962,3.530222,3.2128482,3.0278244,3.1346464,3.2433994,3.725278,4.2944407,4.200021
1,1,1,16,3.507989,3.778973,3.7431192,3.5827951,3.2024102,2.986364,3.0431063,3.1485162,3.5800624,4.0691433,3.961328
1,1,1,17,3.3718348,3.515783,3.5123677,3.3650832,3.0592253,2.861618,2.8998463,2.96137,3.3927426,3.9017785,3.8183491
1,1,1,18,3.2970383,3.391326,3.3439484,3.2203746,2.8442078,2.656306,2.7624912,2.932769,3.4780102,4.024696,3.922562
1,1,1,19,3.0934868,3.2168965,3.2353463,3.0723572,2.5708487,2.385181,2.5703707,2.8316088,3.4159913,4.060416,4.0139565
