Start_Curve_ID,Scenario_ID,scenario_id_within_start_curve,Month,Y_DGS1MO,Y_DGS3MO,Y_DGS6MO,Y_DGS1,Y_DGS2,Y_DGS3,Y_DGS5,Y_DGS7,Y_DGS10,Y_DGS20,Y_DGS30
1,1,1,1,5.9469786,5.634222,5.3187714,4.9174128,4.4519234,4.0815425,4.1918936,4.200355,4.144595,4.4509916,4.5076103
1,1,1,2,5.755644,5.5670967,5.295949,4.85999,4.311927,3.889538,3.917348,3.878063,3.8120527,4.1831493,4.22757
1,1,1,3,5.639211,5.389286,5.0835376,4.61281,4.041562,3.5907202,3.6173124,3.6309152,3.5863984,4.0615788,4.1402893
1,1,1,4,5.582218,5.2492447,4.942351,4.398628,3.7977395,3.3208375,3.3806696,3.429264,3.358478,3.82204,3.830377
1,1,1,5,5.377845,5.1341305,4.78029,4.2195168,3.5741057,3.0673876,3.1437376,3.279054,3.2759097,3.806068,3.865947
1,1,1,6,5.4566402,5.200689,4.8122,4.1693935,3.52099,3.0058496,3.1313024,3.4181976,3.5006757,4.1218634,4.2381096
1,1,1,7,5.436993,5.1898255,4.8229685,4.2255344,3.600646,3.1376953,3.2903872,3.6312966,3.7337124,4.3010616,4.38186
1,1,1,8,5.162893,5.053023,4.771328,4.2362742,3.6041217,3.179739,3.300188,3.6524024,3.775633,4.2928834,4.3809495
1,1,1,9,5.2257853,4.9839497,4.684,4.121069,3.4729881,3.0302846,3.0862055,3.415059,3.6039567,4.2055535,4.309993
1,1,1,10,5.195099,4.992474,4.643923,3.9793046,3.2824144,2.7818885,2.869572,3.1142015,3.2859013,3.88098,4.0598345
1,1,1,11,5.2270803,4.9380884,4.644616,3.9580398,3.2583916,2.7176995,2.7266319,2.9113631,3.1917968,3.8198853,4.0865507
1,1,1,12,5.2244167,4.9322977,4.6137753,3.9320693,3.260146,2.74129,2.783632,3.082744,3.4301147,3.9953494,4.2525864
1,1,1,13,5.4310803,4.9558673,4.6311474,3.897133,3.1454468,2.5982482,2.5800817,2.7943323,3.1495156,3.7420354,4.0254846
1,1,1,14,5.2873087,4.846438,4.5418224,3.7467237,2.93017,2.2919638,2.1436243,2.299015,2.7237344,3.4175918,3.7023187
1,1,1,15,5.279788,4.8388295,4.4639335,3.6708896,2.916348,2.4017406,2.3207164,2.5571814,3.050452,3.7518153,4.106672
1,1,1,16,5.4672265,4.8661942,4.5638638,3.747479,2.9540586,2.3966935,2.3604455,2.6798291,3.1507077,3.8193235,4.2098937
1,1,1,17,5.512365,4.8597465,4.615865,3.820345,3.0598812,2.4793627,2.4177954,2.6908398,3.1623297,3.863574,4.2785106
