Scenario_ID,Month,1M,3M,6M,1Y,2Y,3Y,5Y,7Y,10Y,20Y,30Y,Start_Curve_ID
1,1,1.3605505,1.6351913,1.6553961,1.9815178,2.6068165,3.1586418,3.693205,4.1412287,4.5323987,5.4332943,5.4480968,1
1,2,1.9624174,1.82789,1.7549317,1.9974568,2.546541,3.1127605,3.7500274,4.293365,4.6671176,5.5726056,5.6166153,1
1,3,1.4676808,1.4519598,1.6200131,2.0538983,2.8264344,3.484458,4.2979383,4.9369364,5.2833996,6.06222,5.942156,1
1,4,0.5302806,1.083986,1.1958553,1.6143924,2.4440234,3.1721241,4.0729914,4.756692,5.094668,5.9349623,5.7560053,1
1,5,1.249125,1.0714434,1.0743071,1.3218482,1.8604823,2.5371065,3.41747,4.1191435,4.533042,5.4525867,5.4088674,1
1,6,0.039657593,-0.27621114,0.043903828,0.5891514,1.3737043,2.1275706,3.1565754,3.9360862,4.481528,5.455345,5.398423,1
1,7,-0.6474266,-0.46442688,-0.25311875,0.28071415,1.1746435,2.1058874,3.1652641,3.876372,4.4044394,5.4097357,5.385381,1
1,8,0.2855761,-0.0052974224,0.1799649,0.5296289,1.3326975,2.1970096,3.2257197,3.8611004,4.3299737,5.373975,5.467681,1
1,9,-0.89288783,-1.204538,-0.83372045,-0.29073763,0.5283735,1.5349381,2.7698286,3.7087564,4.2919846,5.494372,5.6581078,1
1,10,-1.2139776,-1.270686,-0.88795185,-0.31281042,0.53719735,1.6161119,2.862989,4.0564976,4.634536,5.8222675,5.9565616,1
1,11,-1.5084715,-1.5279762,-1.1653335,-0.5249665,0.3764894,1.4326658,2.6063285,3.7345068,4.3581243,5.534766,5.7736273,1
1,12,-1.1052966,-1.4300505,-1.170804,-0.5931444,0.27896428,1.2856704,2.4687912,3.6373525,4.249481,5.4294376,5.62165,1
1,13,-1.2285159,-1.5965501,-1.330317,-0.72885346,0.10700035,1.0227661,2.135099,3.2937536,3.9982212,5.233204,5.4452014,1
1,14,-1.4755151,-1.5299965,-1.253983,-0.6190679,0.25725937,1.2224795,2.3407826,3.514574,4.139913,5.396056,5.5000663,1
1,15,-1.4246883,-1.4415499,-1.205751,-0.5830574,0.2748394,1.1870104,2.2601743,3.421197,3.9799209,5.219142,5.325329,1
1,16,-1.0969489,-1.4016386,-1.2101877,-0.66752195,0.071088314,0.93641806,1.9514768,3.0510378,3.727802,5.0283933,5.133565,1
1,17,-1.4325383,-1.6726123,-1.3300874,-0.7634227,0.060508966,0.90540266,2.066481,3.2741318,3.9971817,5.2059927,5.2991924,1
1,18,-1.5337753,-1.6023198,-1.3407319,-0.82676697,0.010033846,0.84603,1.7906024,2.9264054,3.575611,4.780944,4.8822174,1
1,19,-0.9682591,-1.3505515,-1.2486141,-0.79590225,0.019064426,0.91251945,1.8810153,3.1389062,3.8808947,5.1518664,5.274338,1
1,20,-1.0946631,-1.4685489,-1.333715,-0.8602042,-0.11262417,0.75703573,1.647593,2.9198685,3.654152,4.9394054,5.08976,1
1,21,-1.4553275,-1.4551932,-1.3684008,-0.87116003,-0.21915555,0.61716247,1.5302072,2.7450154,3.5232406,4.860923,5.0947347,1
1,22,-0.6457126,-0.9714829,-1.0248716,-0.47800422,0.28147936,1.1897861,2.1710334,3.3846924,4.1011357,5.397689,5.5543194,1
