Scenario_ID,Month,Date,Y_1M,Y_3M,Y_6M,Y_1Y,Y_2Y,Y_3Y,Y_5Y,Y_7Y,Y_10Y,Y_20Y,Y_30Y
1,1,2010-02-28,0.011957861,0.08165102,0.19033359,0.3248628,1.0692399,1.6732986,2.7096093,3.4483728,4.0057797,4.7023,4.794344
1,2,2010-03-31,0.042353064,0.11839594,0.2256635,0.3869021,1.3030579,1.8922641,2.8920984,3.5746534,4.0652757,4.738223,4.7780004
1,3,2010-04-30,0.017461121,0.12070833,0.2063071,0.40053612,1.3259004,1.8476579,2.8352902,3.4849582,4.0173783,4.759668,4.6603665
1,4,2010-05-31,-0.07117243,0.19346529,0.29583907,0.6999687,1.6441764,2.2054026,3.296978,3.7846775,4.298844,5.0273232,4.885257
1,5,2010-06-30,-0.041183155,0.29590186,0.48068362,0.94388425,1.9959595,2.5774925,3.5683208,4.1071596,4.5278745,5.2746577,4.9772463
1,6,2010-07-31,-0.0020156503,0.37562972,0.6970562,1.1207867,2.099811,2.6215663,3.6990051,4.1583195,4.498292,5.218627,4.995745
1,7,2010-08-31,0.123040676,0.53767914,0.88360274,1.2523489,2.2944925,2.8566628,3.9659357,4.3529086,4.6818824,5.338919,5.2367024
1,8,2010-09-30,0.2859175,0.6970696,0.99941105,1.297019,2.2236288,2.849895,3.8188756,4.3749743,4.570284,5.2509875,5.1033783
1,9,2010-10-31,0.40336844,0.813097,1.190142,1.4406323,2.2539604,2.8527977,3.7702456,4.175887,4.5168047,5.1533003,5.042265
1,10,2010-11-30,0.50847286,0.9668028,1.3659286,1.6746843,2.6425252,3.1144614,3.9903479,4.4163256,4.6749673,5.2706385,5.1606774
1,11,2010-12-31,0.81596756,1.2494469,1.628769,1.9140861,2.8785005,3.4331121,4.215149,4.601961,4.8316574,5.3483458,5.222411
1,12,2011-01-31,1.0109935,1.4706161,1.9405265,2.10931,3.0289102,3.635795,4.355711,4.622343,4.86403,5.2918344,5.108607
1,13,2011-02-28,1.1361283,1.6303185,2.238925,2.3082643,3.042406,3.7561355,4.352033,4.5004086,4.6935673,5.086485,4.9681516
1,14,2011-03-31,1.4847327,1.956331,2.5085816,2.587662,3.251923,4.0363507,4.491561,4.575921,4.6551495,5.081476,4.8905973
1,15,2011-04-30,1.7489638,2.0341828,2.740731,2.7883425,3.3242402,3.9953613,4.4315987,4.401801,4.5319686,4.9825172,4.752408
1,16,2011-05-31,2.0077155,2.2705348,2.96234,3.0060234,3.3824263,4.0464096,4.442935,4.3447847,4.461565,4.8084893,4.6045337
