Start_Curve_ID,Scenario_ID,scenario_id_within_start_curve,Month,Y_DGS1MO,Y_DGS3MO,Y_DGS6MO,Y_DGS1,Y_DGS2,Y_DGS3,Y_DGS5,Y_DGS7,Y_DGS10,Y_DGS20,Y_DGS30
1,1,1,1,1.3873296,1.5018094,1.4555255,1.4647459,1.6773376,2.2844884,3.1250608,3.6812015,4.6120887,5.5520988,5.4681606
1,1,1,2,1.3820652,1.4590681,1.3780934,1.4353461,1.8204216,2.4391987,3.277101,3.7383275,4.584078,5.50131,5.3777637
1,1,1,3,1.494207,1.4880469,1.3894063,1.458298,1.829252,2.3318522,3.1329932,3.6550593,4.5817337,5.50373,5.370394
1,1,1,4,1.4841354,1.5349448,1.4547995,1.4984735,1.85374,2.4622636,3.2863104,3.7917032,4.7109647,5.606188,5.517411
1,1,1,5,1.6216893,1.5942695,1.4088932,1.3455381,1.5838957,2.1394324,2.9350803,3.4452305,4.404519,5.3148494,5.318977
1,1,1,6,1.7294817,1.6709677,1.4354123,1.3149718,1.4876107,1.9792666,2.752429,3.2729754,4.3244286,5.3012767,5.347566
1,1,1,7,1.6236694,1.7127341,1.6196325,1.5639089,1.8226599,2.4418192,3.2926517,3.8288183,4.818298,5.6627197,5.5447526
1,1,1,8,1.8170296,1.8171521,1.7334023,1.7866238,2.1562688,2.7929318,3.6121569,4.2275434,5.2264967,5.972514,5.825304
1,1,1,9,1.7939658,1.8496778,1.7362549,1.7209778,2.0245,2.6695013,3.5190592,4.106986,5.100177,5.867005,5.796631
1,1,1,10,1.6343107,1.7560935,1.7071314,1.7244852,2.0282798,2.6543348,3.4790764,4.138057,5.1328955,5.932098,5.802049
1,1,1,11,1.6934739,1.6650221,1.5373222,1.4742074,1.7384564,2.428,3.3325708,4.037287,5.0676427,5.84715,5.615014
1,1,1,12,1.4967343,1.4044889,1.2814189,1.1655617,1.3805983,2.110332,3.1416202,3.9066255,4.9321957,5.705659,5.5518107
1,1,1,13,1.3835442,1.4025638,1.2302747,1.0790715,1.2803123,2.0390942,3.1121657,3.9836295,5.0626516,5.7872505,5.3833184
1,1,1,14,1.5442818,1.4089413,1.1603318,0.91475075,0.92505336,1.4612151,2.3786755,3.1942317,4.3599124,5.2477775,5.0326085
1,1,1,15,1.4419522,1.2616554,0.9327673,0.58748555,0.5418389,1.0037773,1.8088133,2.54286,3.657155,4.659533,4.5234985
1,1,1,16,1.554284,1.3501906,1.0011556,0.642942,0.59366643,1.025882,1.7504056,2.4892502,3.6383018,4.6649275,4.4873214
1,1,1,17,1.6369222,1.325891,0.8722007,0.44453847,0.29968786,0.7553649,1.4668776,2.1391964,3.2489347,4.347948,4.316031
1,1,1,18,1.7712011,1.4840404,0.9991392,0.57582766,0.47782588,0.97365093,1.6628966,2.247986,3.2318163,4.2819505,4.1779056
1,1,1,19,1.7885461,1.399977,0.882118,0.31791747,0.013861179,0.39564466,1.0769846,1.7213783,2.7762973,3.8813262,3.7797017
1,1,1,20,1.7498834,1.4520266,0.92016464,0.31924367,-0.112538815,0.052459717,0.5245483,0.99793744,2.0581481,3.2996266,3.2574384
1,1,1,21,1.6826053,1.4418893,0.9286138,0.33831608,-0.04597187,0.13214707,0.62997556,1.1048162,2.1428428,3.3101501,3.1206796
1,1,1,22,1.7883855,1.4596332,0.9249754,0.24439335,-0.22553945,-0.30308914,-0.095966816,0.2113576,1.1879258,2.431895,2.2956886
1,1,1,23,1.846551,1.4840974,0.9206154,0.25216293,-0.25621855,-0.36420965,-0.18714476,0.056738853,1.0260551,2.4236155,2.301766
1,1,1,24,1.8442774,1.5345186,0.9522497,0.23297882,-0.27760077,-0.23957396,0.2356801,0.6757066,1.7819097,3.331948,2.9702287
1,1,1,25,1.9550631,1.6157761,1.0425247,0.35610676,-0.06193149,0.08707714,0.69114566,1.1403246,2.33145,3.7929811,3.4314344
1,1,1,26,1.9678771,1.5803407,1.0308414,0.41860032,0.08223963,0.21806955,0.64216375,1.132987,2.269509,3.8254225,3.5930235
1,1,1,27,1.9123574,1.5535065,0.9585349,0.28904963,0.02037251,0.24637401,0.8548112,1.3254695,2.487592,3.9922924,3.8920336
