DATE,Yield_1M,Yield_3M,Yield_6M,Yield_1Y,Yield_2Y,Yield_3Y,Yield_5Y,Yield_7Y,Yield_10Y,Yield_20Y,Yield_30Y
1/2/2002,1.7287541555844208,1.736226439368075,1.8414961501826155,2.2695304982801576,3.2131075526765196,3.7509237787705616,4.555273567877106,5.041082310594121,5.281814754758274,6.195650435008501,5.4404374048798765
1/3/2002,1.7287541555844208,1.7262696270409752,1.8117688976692266,2.229879699067227,3.183548119960602,3.7109905890157773,4.515166330492846,5.000764222575492,5.241466620521962,6.168978866051136,5.433797232269541
1/4/2002,1.71876850995006,1.7163125668624781,1.8117688976692266,2.2398348447053253,3.183407329773364,3.7211888672595737,4.536111126556664,5.044620638378765,5.259848892335347,6.221397457934162,5.457973411366097
1/7/2002,1.6987969693948224,1.6764818473872412,1.7622136557099999,2.180375920159293,3.073557304851151,3.611402445870277,4.425812782990027,4.933678626202765,5.173461176068257,6.0959088815626155,5.405913952766074
1/8/2002,1.6987969693948224,1.6764818473872412,1.7622136557099999,2.180375920159293,3.063479875911895,3.60134882891451,4.426472460307026,4.934216951414328,5.186142963088719,6.108324562828858,5.43556459101552
1/9/2002,1.6788250964489202,1.6764818473872412,1.7622136557099999,2.160463202742165,3.0234439590750424,3.5716466895488623,4.41805223600555,4.93691153609553,5.188172570092588,6.093701165297021,5.442961968342439
1/10/2002,1.6588528911007279,1.6764818473872412,1.7423881204043135,2.090873150236641,2.93377307636354,3.461376996927823,4.3073129086310695,4.814136024595929,5.090175127209297,5.95734369600389,5.379785094163549
1/11/2002,1.6189074831545822,1.576887693049521,1.6134742155517494,1.972030907476115,2.75447609072799,3.282025574979366,4.1804644536554285,4.731559594696726,5.017672278825066,5.940687024277449,5.336528177769519
1/14/2002,1.6189074831545822,1.576887693049521,1.6233936203895325,1.9919012318589886,2.784402567578422,3.3222340214713957,4.188695571416321,4.717318599434821,5.0043958248162825,5.975429632121546,5.344331004269157
1/15/2002,1.6388803533398226,1.5968085078149798,1.6233936203895325,1.981941472583813,2.7845255129590263,3.322332767803402,4.178055905949238,4.695310640855071,4.970565255605256,5.893420343130904,5.3141396966102175
1/16/2002,1.6189074831545822,1.6067685431735943,1.6432309542681058,2.0017611296302023,2.8345597011243293,3.362059062973007,4.196620904580239,4.691460083909209,4.967640537647369,5.923012709525458,5.338272532024487
1/17/2002,1.5989342805344544,1.6366471613014146,1.7225606196445364,2.081020122697134,2.9541249506954297,3.4919349585669535,4.31642188858577,4.800615276302547,5.065227998154279,5.980251813170181,5.358154621158782
1/18/2002,1.5889475545575853,1.6167283305327025,1.7027311530409457,2.0711661182823287,2.903959988369198,3.4315436940451742,4.266567438933737,4.761850332011211,5.02601221051432,5.9068252141553845,5.313774416256824
1/22/2002,1.668839035325795,1.696397702901849,1.7622136557099999,2.100725201094902,2.963789138468198,3.481080232327301,4.3057262679442,4.789990419503741,5.042500391813866,5.941419498571197,5.344327098225224
1/23/2002,1.6987969693948224,1.7063552588202444,1.772125686439289,2.1404971334414222,3.0639830344882437,3.5811481993728225,4.395492670620206,4.880329810012009,5.133052573395377,6.069072273217668,5.418162958665056
1/24/2002,1.6888110744713394,1.7163125668624781,1.8117688976692266,2.2099694274235606,3.1435029134286347,3.6709954061622274,4.432047540094635,4.883463968823842,5.150158674967209,6.0248205686268985,5.405275650169815
1/25/2002,1.6888110744713394,1.7163125668624781,1.8216784727982,2.239778984642565,3.163205518615801,3.711357073328093,4.493938695218127,4.922408674417176,5.17724911115733,6.023026991350442,5.3889194732127175
