Scenario_ID,Month,1M,3M,6M,1Y,2Y,3Y,5Y,7Y,10Y,20Y,30Y,Start_Curve_ID
1,1,1.5651253,1.6558763,1.6334996,2.0521507,2.6181495,3.1822495,3.875915,4.297496,4.432912,5.3349237,5.2642274,1
1,2,1.5095699,1.5941849,1.5504998,2.0098321,2.63334,3.2918375,3.9709902,4.3434415,4.4727716,5.4067216,5.4320216,1
1,3,1.4637465,1.5292462,1.5788834,2.1035144,2.8902469,3.5904002,4.2509317,4.60163,4.6218443,5.4455504,5.4080167,1
1,4,1.3078403,1.4233166,1.4579325,1.991688,2.8225536,3.5654206,4.3581796,4.7105713,4.7540307,5.6503577,5.7560625,1
1,5,1.1516936,1.4119556,1.4715093,2.0084898,2.763898,3.3825593,4.0433726,4.3703566,4.440796,5.347959,5.483703,1
1,6,1.2943945,1.5537958,1.5974276,2.1744664,2.9681454,3.5532436,4.1885123,4.5615573,4.628354,5.534465,5.5698576,1
1,7,1.6215389,1.7052242,1.6820862,2.313481,3.242314,3.9488063,4.782346,5.161837,5.2789173,6.0626554,5.9981656,1
1,8,1.4999117,1.7280177,1.7274939,2.364944,3.4842803,4.5155478,5.5625324,5.8912005,5.9924374,6.718695,6.567258,1
1,9,1.3116059,1.6009969,1.6604562,2.3377707,3.5512266,4.6529465,5.7852154,6.2333226,6.332114,6.8685446,6.6045775,1
1,10,1.0751958,1.3995004,1.4908885,2.1418855,3.2838845,4.299536,5.515707,6.0763865,6.0991054,6.6849465,6.4268856,1
1,11,1.2102779,1.5355368,1.7699583,2.4869223,3.6057909,4.454968,5.5372405,5.896373,6.005315,6.7339697,6.38791,1
1,12,1.2015204,1.2042388,1.3300078,1.8433211,2.7581418,3.4712708,4.6324577,5.0594015,5.2621965,6.037134,5.7315693,1
1,13,1.0875254,1.2365946,1.2906015,1.7669802,2.5711007,3.291871,4.6451335,5.0446105,5.155002,5.94576,5.6304655,1
1,14,1.6927046,1.8989244,1.9233128,2.4151952,3.367185,4.3658752,5.9541855,6.122185,6.0530353,6.6318846,6.117565,1
1,15,2.2472382,2.2129722,2.2843647,2.739851,3.983068,5.030315,6.628637,6.6515503,6.5169573,7.0086336,6.5120425,1
1,16,2.2587447,2.26329,2.2083566,2.6890943,3.7968187,4.6996403,6.213166,6.315194,6.22585,6.747249,6.303035,1
1,17,2.1042798,2.2811546,2.3916602,2.8834963,4.0417795,4.84721,6.2802753,6.3217506,6.22946,6.741836,6.356115,1
1,18,2.3673525,2.3619547,2.3938882,2.7595782,3.8241453,4.5877066,5.907299,6.019207,5.905066,6.523654,6.222176,1
1,19,2.7375326,2.5326085,2.5790699,3.0247262,4.149085,4.954824,6.2889705,6.294269,6.1128926,6.6734757,6.3508306,1
1,20,2.7822342,2.7819543,2.8283687,3.2230136,4.3127537,5.101726,6.3797894,6.3177876,6.1636577,6.844918,6.613599,1
1,21,3.0650964,3.00709,3.0483181,3.442799,4.5838785,5.382927,6.620308,6.483818,6.317918,6.920619,6.7146816,1
1,22,3.050169,2.9319968,3.0158935,3.4424272,4.6631503,5.613311,6.9123077,6.7751565,6.514423,7.019356,6.7701693,1
1,23,2.9386225,2.9165812,3.06503,3.566804,4.894269,5.8785706,7.192626,6.988655,6.653885,7.1156306,6.789461,1
1,24,2.7020297,2.9917886,3.140666,3.5911016,4.920779,5.827839,7.08117,6.8047395,6.416522,6.8886657,6.564847,1
1,25,2.8715792,3.013012,3.1369996,3.5817714,4.8168344,5.7893453,7.118907,6.8238816,6.494628,6.9761906,6.6706467,1
1,26,2.5202897,2.7832203,2.9249527,3.440296,4.668065,5.7452135,7.070516,6.84923,6.5963564,7.077194,6.7696514,1
1,27,2.8247695,2.9611247,3.088468,3.700646,4.9630804,6.0646,7.3697057,7.0660267,6.801797,7.3058643,6.951783,1
1,28,2.2950382,2.6714797,2.8375564,3.4279146,4.6488132,5.868252,7.2962656,7.034398,6.869786,7.4228415,7.120034,1
1,29,2.3151648,2.5046248,2.5747323,3.188953,4.313544,5.488558,6.9121265,6.8713436,6.816518,7.372738,7.0901804,1
1,30,1.8749357,2.1032658,2.2279797,2.8401215,4.077726,5.2740927,6.77193,6.6950884,6.633723,7.189995,6.9003577,1
1,31,1.8777481,2.1640162,2.3317623,2.7575343,4.027322,5.274727,6.864791,6.8205447,6.722947,7.3379154,6.9795437,1
1,32,1.371943,1.560225,1.806376,2.2215495,3.1981936,4.4258223,5.9653583,6.0330048,6.070429,6.7665515,6.5521793,1
1,33,-0.3398664,0.60536706,0.7613568,1.2047558,2.4315078,3.6955843,5.295759,5.6203566,5.777685,6.588647,6.4169116,1
1,34,-0.24680519,0.2885537,0.22391081,0.67587984,1.7873791,3.2411392,4.8732824,5.33938,5.530779,6.416807,6.292211,1
1,35,-0.19610548,0.32403505,0.2668686,0.8147212,2.126932,3.5149465,5.101965,5.4684944,5.6435905,6.5089874,6.3913527,1
1,36,-0.2941059,0.5648354,0.45648324,1.0551202,2.3932955,3.6625109,5.312734,5.70145,5.8347025,6.7478886,6.6407433,1
1,37,-0.40875435,0.39106822,0.23440826,0.84483814,2.1566339,3.5767286,5.2997766,5.734655,5.874304,6.770662,6.6024513,1
1,38,-0.7888496,0.2585956,0.14135933,0.7971903,2.212324,3.690086,5.4938917,5.894066,5.9749937,6.7910433,6.628116,1
1,39,-0.8709452,0.20591187,0.018432617,0.6037518,1.854377,3.1616125,4.8478584,5.3784432,5.4519634,6.430047,6.3492894,1
1,40,-0.67836595,0.19916224,-0.10999036,0.35425127,1.611643,2.8538022,4.5710583,5.1777363,5.260959,6.305467,6.2816906,1
