Start_Curve_ID,Scenario_ID,Month,Y_1M,Y_3M,Y_6M,Y_1Y,Y_2Y,Y_3Y,Y_5Y,Y_7Y,Y_10Y,Y_20Y,Y_30Y
1,1,2026-03-31,1.3290085,1.3811511,1.4229213,1.678932,2.30127,2.8219774,3.6554081,4.1905346,4.500468,5.378806,5.3803215
1,2,2026-04-30,1.4858301,1.4213492,1.394703,1.6246374,2.1806777,2.6432939,3.3669515,3.8679066,4.213166,5.0959854,5.1296606
1,3,2026-05-31,1.2544173,1.1722014,1.1013793,1.2947772,1.9007492,2.4827473,3.2096448,3.7802927,4.0428243,4.8583417,4.9037747
1,4,2026-06-30,1.2660431,1.2423829,1.193674,1.3746746,1.8973258,2.4147966,3.143099,3.8087597,4.1835957,5.0086126,5.095682
1,5,2026-07-31,1.176866,1.057333,1.0675874,1.2940319,1.8504853,2.2975893,2.9680977,3.625399,3.954936,4.807684,4.893093
1,6,2026-08-31,1.1741042,1.0103986,1.0556755,1.1829289,1.5944898,1.9379752,2.510268,3.1242392,3.5014586,4.3681617,4.530429
1,7,2026-09-30,0.89051867,0.851454,0.9173428,1.1127932,1.6599979,2.086722,2.7228856,3.4036932,3.8315418,4.6816993,4.795858
1,8,2026-10-31,0.8186662,0.7801725,0.879753,1.2246549,1.9246659,2.4473474,3.145216,3.8668537,4.290056,5.0693607,5.138777
1,9,2026-11-30,0.9459367,0.82241875,0.9485407,1.2235237,1.9082289,2.4337308,3.1645224,3.8706262,4.305596,4.982628,5.0696697
1,10,2026-12-31,0.83346975,0.70922273,0.87677395,1.1580939,1.9076803,2.4647841,3.1821995,3.763132,4.161524,4.8104105,4.8308816
1,11,2027-01-31,0.6241853,0.6012311,0.81797075,1.0735117,1.7837417,2.3446708,2.9703765,3.5744233,3.9009345,4.5040884,4.5678425
1,12,2027-02-28,0.6098236,0.5204636,0.72755986,0.92440224,1.6551255,2.1777515,2.7772222,3.4275942,3.8290997,4.5345078,4.629673
1,13,2027-03-31,0.4987197,0.3378471,0.58737075,0.81323767,1.5427476,2.0566833,2.6356246,3.281062,3.7043853,4.401354,4.4927106
1,14,2027-04-30,0.53011656,0.5098858,0.63641834,0.77852,1.3835143,1.8871675,2.5285444,3.1956425,3.7221658,4.4647236,4.5842376
1,15,2027-05-31,0.35990834,0.39026475,0.5936651,0.8298855,1.4613057,1.9210011,2.5224504,3.1865003,3.7245517,4.5471945,4.7417564
1,16,2027-06-30,0.5134082,0.44111967,0.6069652,0.79749274,1.5282015,2.0349054,2.5753024,3.170158,3.6266766,4.417396,4.5543923
1,17,2027-07-31,0.50590813,0.5754535,0.72428256,0.8889648,1.6301556,2.215607,2.7229805,3.2844262,3.7563777,4.493475,4.6957645
1,18,2027-08-31,0.5894743,0.66446704,0.90084785,1.1888225,2.0632703,2.7387123,3.1876078,3.725446,4.092231,4.7139864,4.889915
1,19,2027-09-30,0.9586284,0.9606196,1.13778,1.3348582,2.1051188,2.6898358,3.0231612,3.48684,3.8732748,4.447134,4.684084
1,20,2027-10-31,0.9080313,0.9773337,1.169363,1.3372991,1.9921198,2.540095,2.8585577,3.3398542,3.788103,4.3989983,4.6864443
1,21,2027-11-30,0.8353917,0.92895806,1.120708,1.3211279,1.8731513,2.3977683,2.7507763,3.2853057,3.7869613,4.4531217,4.767826
